Compound Name,Number of H-bond donors,Number of H-bond acceptors,Molecular Weight,LogP,Meets
,2,4,311.407,1.77392,TRUE
,2,3,286.718,2.4479,TRUE
,1,3,375.871,4.4256,TRUE
_c001,2,6,280.309,0.8682,TRUE
,1,1,263.384,4.3019,TRUE
,1,1,151.253,1.9139,TRUE
,0,4,384.516,4.4259,TRUE
,1,2,309.453,4.1886,TRUE
,1,4,379.435,3.6784,TRUE
,0,2,336.479,4.1367,TRUE
,0,5,356.785,2.59262,TRUE
,2,3,136.114,-0.4022,TRUE
_c001,2,4,197.234,0.6959,TRUE
,1,3,201.254,2.6864,TRUE
,0,3,242.702,3.0605,TRUE
,0,3,300.398,3.5899,TRUE
_c001,0,2,405.969,6.5626,FALSE
,1,2,285.431,3.8826,TRUE
,0,2,146.21,0.2557,TRUE
,0,2,356.058,1.2272,TRUE
,6,9,560.693,0.9221,FALSE
,2,6,329.741,0.556,TRUE
,3,2,76.055,-0.9561,TRUE
,4,4,204.314,-0.2926,TRUE
,1,8,277.269,1.1458,TRUE
_c001,2,6,494.575,3.4407,TRUE
,2,2,151.165,1.3506,TRUE
,2,3,259.349,2.5775,TRUE
,0,5,443.638,3.4707,TRUE
,1,1,236.274,3.3872,TRUE
,1,3,344.495,3.9403,TRUE
,2,5,327.38,1.3014,TRUE
,1,2,312.453,3.8826,TRUE
,0,3,387.886,4.0049,TRUE
,3,5,389.886,1.2295,TRUE
,1,2,364.529,5.2284,FALSE
,0,5,391.467,4.41112,TRUE
,3,3,221.304,1.0488,TRUE
,0,2,294.442,4.121,TRUE
,4,8,243.219,-2.563,TRUE
,0,2,279.383,3.9624,TRUE
,1,2,237.73,2.8978,TRUE
,0,6,404.507,2.423,TRUE
,1,3,176.175,0.5992,TRUE
,0,0,320.046,5.929,FALSE
,1,7,494.531,2.9376,TRUE
,3,5,196.182,-1.2825,TRUE
,0,2,299.434,4.2679,TRUE
,3,6,246.194,-1.6836,TRUE
,0,1,361.393,4.4215,TRUE
,1,2,221.344,3.0835,TRUE
,1,2,147.198,-0.2121,TRUE
,0,4,384.516,4.5753,TRUE
,1,11,466.354,-0.5549,FALSE
,1,3,230.676,1.8726,TRUE
,2,3,129.094,-0.5088,TRUE
,2,6,416.514,2.3267,TRUE
,0,4,572.875,6.1105,FALSE
_c001,7,10,766.898,0.1855,FALSE
,0,1,184.491,2.3528,TRUE
,1,3,276.38,1.96282,TRUE
,1,3,284.746,2.6092,TRUE
,2,7,290.323,1.2576,TRUE
,2,4,365.842,2.71412,TRUE
,0,2,312.453,4.4995,TRUE
,3,3,153.181,0.599,TRUE
,2,1,230.098,2.1737,TRUE
,0,2,324.811,3.934,TRUE
,1,3,214.052,1.157,TRUE
,0,4,208.261,1.1618,TRUE
,3,5,353.479,1.7082,TRUE
,1,8,383.408,1.7846,TRUE
,1,6,314.257,1.7405,TRUE
,1,3,339.483,3.3619,TRUE
